ID,Domain,Name,Max Rate
36346,"presetpro.com","Presetpro","19.5%"
36635,"mapiful.com","Mapiful","6.5%"
36646,"kogalla.com","Kogalla","6.5%"
36672,"raymond-weil.us","Raymond Weil","0.5%"
36683,"greatwolf.com","Great Wolf Lodge","1.3%"
36695,"mymedic.com","MyMedic","1.3%"
36698,"rackroomshoes.com","Rack Room Shoes","2%"
36704,"forsake.com","Forsake","6.5%"
36725,"healthlabs.com","HealthLabs","19.5%"
36728,"mtnops.com","MTN OPS","6.5%"
36735,"sagefinds.com","SageFinds","2%"
36742,"moonjuice.com","Moon Juice","2.6%"
36754,"seenebula.com","Nebula","4.6%"
36754,"us.seenebula.com","Nebula","4.6%"
36760,"tanyataylor.com","Tanya Taylor","4.6%"
36774,"themadoptimist.com","The Mad Optimist","0.7%"
36781,"touchland.com","Touchland","6.5%"
36782,"cymbiotika.com","Cymbiotika","3.3%"
36784,"jimmychoo.com","Jimmy Choo","4.2%"
36784,"us.jimmychoo.com","Jimmy Choo","4.2%"
36789,"intellasphere.com","IntellaSphere","$25.48"
36793,"drkellyann.com","Dr. Kellyann","19.5%"
36793,"drkellyannstore.com","Dr. Kellyann","19.5%"
36795,"troybilt.com","Troy Bilt","2.6%"
36799,"siobeauty.com","SiO Beauty","2.6%"
37090,"findmespot.com","SPOT","8.1%"
37094,"brochuwalker.com","Brochu Walker","3.3%"
37098,"bigfeetpjs.com","Big Feet Pajama Co","6.5%"
37099,"ssww.com","S&S Worldwide","2.6%"
37104,"hostinger.com","Hostinger","39%"
37116,"rugsusa.com","Rugs USA","1.3%"
37118,"chessbazaar.com","Chess Bazaar","3.3%"
37127,"sandandsky.com","Sand & Sky","1.3%"
37137,"orgain.com","Orgain","6.5%"
37142,"airportparking.com","AirportParking.com","13%"
37149,"aboxtek.com","Dynanic Inc","4.6%"
37149,"ultimea.com","Dynanic Inc","4.6%"
37160,"tataharperskincare.com","Tata Harper","5.2%"
37172,"getspeks.com","getspeks","2%"
37184,"beautybox.allure.com","Allure Beauty Box","$1.63"
37184,"allurebeautybox.com","Allure Beauty Box","$1.63"
37417,"arestravel.com","aRes Travel","$4.55"
37417,"reservations.arestravel.com","aRes Travel","$4.55"
37418,"arka.com","Arka","3.3%"
37422,"baseblu.com","Base Blu","6.5%"
37424,"vousvitamin.com","Vous Vitamin","13%"
37427,"beyondpolish.com","Beyond Polish","3.3%"
37428,"bizchair.com","Bizchair","2%"
37431,"blenderseyewear.com","Blenders Eyewear","2%"
37434,"wilson.com","Wilson Family of Brands","5.2%"
37436,"bluesky.com","Blue Sky","0.7%"
37438,"discountfilterstore.com","DiscountFilterStore.com","1.6%"
37443,"bulletproof.com","Bulletproof","3.3%"
37443,"shop.bulletproof.com","Bulletproof","3.3%"
37444,"cledepeaubeaute.com","Cle De Peau Beaute","5.2%"
37450,"coppercowcoffee.com","Copper Cow Coffee","5.2%"
37454,"eaglecreek.com","Eagle Creek","7.8%"
37456,"emcosmetics.com","EM Cosmetics","3.3%"
37461,"faxitfast.com","Fax It Fast","$7.80"
37462,"falconeri.com","Falconeri","5.2%"
37462,"us.falconeri.com","Falconeri","5.2%"
37465,"1800contacts.com","1-800 CONTACTS","9.1%"
37468,"apupabove.com","A Pup Above","4.6%"
37478,"jujube.com","JuJuBe","1.6%"
37479,"jdsports.com","JD Sports","5.2%"
37484,"ivisa.com","iVisa","6.5%"
37487,"currentelliott.com","Current/Elliott","6.5%"
37495,"lastpass.com","LastPass","22.8%"
37503,"maidenform.com","Maidenform","0.7%"
37504,"marcjacobs.com","Marc Jacobs","3.3%"
37505,"athleticpropulsionlabs.com","Athletic Propulsion Labs","5.2%"
37514,"mirasafety.com","MIRA Safety","3.3%"
37518,"ignatius.com","Ignatius Press","6.5%"
37521,"fender.com","Fender","2.6%"
37521,"try.fender.com","Fender","$6.50"
37526,"nyxcosmetics.com","NYX Professional Makeup","6.5%"
37835,"nourage.com","Nourage","2.6%"
37979,"funjet.com","Funjet","1.3%"
38765,"shop.sandisk.com","SanDisk","3.3%"
38765,"sandisk.com","SanDisk","3.3%"
39239,"kayak.com","Kayak","$0.68"
39446,"squareoffnow.com","Square Off","6.5%"
39564,"lenscrafters.com","LensCrafters","3.9%"
39567,"camper.com","Camper","5.2%"
39569,"denbyusa.com","Denby","2%"
39569,"denbypottery.com","Denby","2%"
39868,"hungryroot.com","Hungryroot","$9.75"
40158,"carbon38.com","Carbon38","6.5%"
40334,"shipito.com","Shipito","$0.65"
40549,"jjill.com","J. Jill","2%"
40551,"23andme.com","23andMe","$32.50"
42811,"jennikayne.com","Jenni Kayne","6.5%"
43372,"rawlings.com","Rawlings","2.6%"
44616,"bokksu.com","Bokksu","3.3%"
44618,"ernolaszlo.com","Erno Laszlo","6.5%"
49705,"wacoal-america.com","Wacoal","10.4%"
49705,"wacoal-outlet.com","Wacoal","6.5%"
49708,"momondo.com","Momondo","$0.54"
49711,"yarnspirations.com","Yarnspirations","0.7%"
49716,"justthrivehealth.com","Just Thrive","6.5%"
50844,"burstoralcare.com","BURST Oral Care","3.3%"
51859,"outdoorvoices.com","Outdoor Voices","1.3%"
51871,"tuftandneedle.com","Tuft & Needle","1.3%"
51880,"puracy.com","Puracy","5.2%"
57039,"americanfighter.com","American Fighter","6.5%"
57045,"etihad.com","Etihad Airways","0.8%"
57056,"makeuperaser.com","MakeUp Eraser","6.5%"
57057,"farmrio.com","FarmRio","5.2%"
57067,"proton.me","Proton","26%"
57074,"bedrosians.com","Bedrosians Tile & Stone","3.3%"
57081,"stylevana.com","Stylevana","3.3%"
57082,"ekster.com","Ekster","7.8%"
57086,"ediblearrangements.com","Edible Arrangements","2.6%"
57476,"flowerbx.com","FLOWERBX","0.7%"
57478,"gigipip.com","Gigi Pip","2.6%"
57479,"positivegrid.com","Positive Grid","3.3%"
57517,"udacity.com","Udacity","6.5%"
57534,"stellarinfo.com","Stellar","6.5%"
57535,"benetton.com","Benetton","5.2%"
57535,"us.benetton.com","Benetton","5.2%"
57538,"superdry.com","Superdry","3.1%"
57566,"busbud.com","Busbud","1.3%"
57567,"thedoublef.com","The Double F","6.5%"
57571,"eibabo.com","eibabo.com global","2.6%"
57593,"organicbabyfood24.de","Organic Baby Food","6.5%"
58675,"vyprvpn.com","VyprVPN","$19.50"
58677,"jackrogersusa.com","Jack Rogers","3.3%"
58679,"stutterheim.com","Stutterheim","3.3%"
58690,"mollybracken.com","Molly Bracken","3.9%"
58696,"davidstea.com","DAVIDsTEA","1.3%"
58726,"us.sandro-paris.com","Sandro","3.3%"
58730,"kofax.com","Tungsten Automation","9.8%"
58730,"tungstenautomation.com","Tungsten Automation","9.8%"
58731,"replacements.com","Replacements","2.6%"
61027,"charleskeith.com","Charles & Keith","6.5%"
61041,"harperwilde.com","Harper Wilde","3.3%"
61047,"education.com","Education.com","5.2%"
61050,"original-group.com","Original Resorts","2.6%"
61059,"mrswordsmith.com","Mrs Wordsmith","9.8%"
61067,"plaza-network.com","Plaza Premium","2.1%"
61067,"plazapremiumlounge.com","Plaza Premium","2.6%"
61078,"constancehotels.com","Constance Hotels","3.9%"
61147,"sporteyes.com","A Sight For Sport Eyes","5.2%"
61477,"hotelxcaret.com","Hotel Xcaret","3.9%"
61478,"swiss-belhotel.com","Swiss BelHotel International","3.9%"
61482,"minorhotels.com","Minor Hotels","2%"
61482,"avanihotels.com","Minor Hotels","2%"
61496,"holidaytaxis.com","Holiday Taxis","5.2%"
61510,"megaseats.com","MegaSeats","3.3%"
61510,"zeromarkup.com","MegaSeats","3.3%"
61904,"badathletics.com","Wellah","5.2%"
61904,"wellah.com","Wellah","5.2%"
61915,"herocosmetics.us","Hero Cosmetics","5.2%"
61916,"freewaters.com","Freewaters","3.3%"
61925,"ethiopianairlines.com","Ethiopian Airlines","0.8%"
61932,"sleepandbeyond.com","Sleep and Beyond","6.5%"
62181,"aosom.com","Aosom","8.5%"
62196,"animalpak.com","AnimalPak","4.6%"
64216,"karenmillen.com","Karen Millen","1.3%"
64222,"us.monbento.com","Monbento","5.9%"
64222,"monbento.com","Monbento","5.9%"
64235,"goenergyfoods.myshopify.com","E3 Foods","6.5%"
64235,"e3energycubes.com","E3 Foods","6.5%"
64236,"westonbrands.com","Weston Supply","3.9%"
64236,"westonsupply.com","Weston Supply","3.9%"
64401,"troomy.com","Troomy","19.5%"
64407,"lovisa.com","Lovisa","2.6%"
64408,"us.endurasport.com","Endura","3.3%"
64419,"foraygolf.com","Foray Golf","6.5%"
64519,"gpfilter.com","GP Filter","6.5%"
64519,"gp-filter.com","GP Filter","6.5%"
65029,"bourbonandboweties.com","Bourbon and Boweties","4.6%"
65033,"ueni.com","UENI","$65.00"
65814,"nordpass.com","NordPass","22.8%"
65816,"curiositystream.com","CuriosityStream","$1.95"
65839,"luminskin.com","Lumin","6.5%"
65840,"bakedbymelissa.com","Baked by Melissa","2%"
65842,"springstepshoes.com","Spring Step Shoes","1.3%"
65843,"voiply.com","Voiply","$26.00"
65845,"myfonts.com","MyFonts","6.5%"
65846,"finditparts.com","FinditParts","4.6%"
65849,"travelpro.com","Travelpro","3.3%"
65851,"prolonlife.com","ProLon","16.3%"
65852,"opencare.com","Opencare","$32.50"
65865,"trytheworld.com","Try The World","9.8%"
65866,"getquip.com","quip","3.3%"
65871,"ifchic.com","IFCHIC","2.6%"
65873,"monicaandandy.com","Monica + Andy","1.3%"
65880,"todaytix.com","TodayTix","1.3%"
65881,"zwilling.com","Zwilling","3.9%"
65898,"us.vaio.com","VAIO","5.2%"
66035,"b12.io","B12","19.5%"
66039,"otherland.com","Otherland","3.3%"
66040,"lifelineskincare.com","Lifeline Skincare","9.8%"
66042,"batteriesplus.com","Batteries Plus","0.7%"
66043,"piedmontese.com","Piedmontese","11.7%"
66045,"freeflyapparel.com","Free Fly Apparel","0.7%"
66046,"suppliesshops.com","The Supplies Shops","2.6%"
66048,"popmarket.com","Pop Market","2.6%"
66049,"mount-it.com","Mount-It","3.3%"
66052,"danarebeccadesigns.com","Dana Rebecca Designs","1.3%"
66053,"iwawine.com","IWA Wine","0.7%"
66058,"gonimble.com","Nimble","6.5%"
66060,"gerberchildrenswear.com","Gerber Childrenswear","2%"
66063,"altrarunning.com","Altra Running","3.3%"
66066,"muckbootcompany.com","Muck Boots","9.8%"
66067,"apparis.com","Apparis","3.9%"
66068,"blissworld.com","Blissworld","2%"
66070,"elwoodclothing.com","Elwood Clothing","3.3%"
66071,"agmesnyc.com","AGMES","7.8%"
66073,"tonerbuzz.com","Toner Buzz","2%"
66080,"bridelily.com","Bridelily","7.8%"
66081,"castlery.com","Castlery","4.6%"
66082,"cubcadet.com","Cub Cadet","2.6%"
66245,"texassuperfood.com","Texas Superfood","6.5%"
66249,"enginediy.com","Engine DIY","3.3%"
66252,"tucann.com","Tucann","1.3%"
66253,"ironstudios.com","Iron Studios","3.9%"
66255,"swimzip.com","SwimZip","9.8%"
66256,"sleepon.us","Sleepon","6.5%"
66256,"sleeponhealth.com","Sleepon","6.5%"
66269,"termly.io","Termly","3.3%"
66287,"hokaoneone.com","HOKA","1.6%"
66287,"hoka.com","HOKA","2%"
66294,"vitrazza.com","Vitrazza","2%"
66306,"tacticalxmen.com","Tacticalxmen.com","3.9%"
66332,"stirlingkit.com","Stirlingkit","5.2%"
66340,"eachandevery.com","Each & Every","9.8%"
66355,"posturepump.com","Posture Pump","5.2%"
66356,"dodocase.com","DODOcase","3.3%"
66357,"store.cheerble.com","Cheerble","6.5%"
66357,"cheerble.com","Cheerble","6.5%"
66559,"toadandco.com","Toad & Co","2%"
66562,"neurogum.com","NeuroGum","2.6%"
66562,"getneuro.com","NeuroGum","2.6%"
66564,"manychat.com","ManyChat","65%"
66572,"brother-usa.com","Brother","6.5%"
66577,"joindeleteme.com","DeleteMe","$19.50"
66578,"linkyinnovation.com","Linky","6.5%"
66584,"cliqproducts.com","Cliq","3.9%"
66585,"freshmealplan.com","Fresh Meal Plan","6.5%"
66589,"edgewell.com","Edgewell","6.5%"
66931,"sportsmanswarehouse.com","Sportsman's Warehouse","2%"
66931,"sportsmans.com","Sportsman's Warehouse","5.2%"
66943,"victrola.com","Victrola","9.8%"
66944,"lusetabeauty.com","Luseta Beauty","13%"
66945,"getjobber.com","Jobber","39%"
66963,"overnightglasses.com","Overnight Glasses","4.6%"
67148,"shieldapparels.com","United Apparels","7.8%"
67149,"loomyhome.com","LOOMY Home","6.5%"
67153,"dealfuel.com","DealFuel","6.5%"
67154,"herohealth.com","Hero Health","$13.00"
67158,"deals.getdodow.io","Dodow","$17.55"
67158,"getdodow.io","Dodow","$17.55"
67183,"bullybeds.com","Bully Beds","5.2%"
67185,"filenow.com","Filenow","$39.00"
67195,"teechip.com","TeeChip","9.8%"
67201,"hometownapparel.com","Hometown Apparel","0.7%"
67204,"eternitymodern.com","Eternity Modern","3.3%"
67206,"chappywrap.com","ChappyWrap","6.5%"
67217,"katebackdrop.com","KATE BACKDROP","5.2%"
67219,"watens.com","Watens Filter","5.2%"
67223,"viscosoft.com","ViscoSoft","2.6%"
67224,"provenskincare.com","PROVEN Skincare","2%"
67226,"bakerly.com","Bakerly","6.5%"
68418,"reelpaper.com","Reel Paper","6.5%"
68422,"bellysleep.com","Belly Sleep","3.9%"
68423,"sardelkitchen.com","Sardel","6.5%"
68424,"evenflo.com","Evenflo Baby","2%"
68425,"plantpeople.co","Plant People","19.5%"
68433,"bedinabox.com","BedInABox","3.3%"
68436,"wearsubset.com","Subset","3.3%"
68441,"assouline.com","Assouline","2%"
68447,"placeit.net","Envato Placeit","32.5%"
68451,"savearound.com","SaveAround","4.6%"
68452,"stormdesire.com","Stormdesire","3.3%"
68498,"ticketsmarter.com","TicketSmarter","2%"
68522,"becausemarket.com","Because Market","3.3%"
68523,"miraclebrand.co","Miracle","3.9%"
68524,"shop-olivia.com","shop-olivia","3.9%"
68535,"igkhair.com","IGK Hair","6.5%"
68537,"renpho.com","Renpho","3.3%"
68550,"ibex.com","Ibex","5.2%"
68569,"zomasleep.com","Zoma","3.3%"
68575,"reviveprocare.com","Reviv3 Procare Company","6.5%"
68579,"alpynbeauty.com","Alpyn Beauty","5.2%"
68597,"carex.com","Carex Health Brands","5.2%"
68597,"tens7000.com","Carex Health Brands","5.2%"
68620,"perduefarms.com","Perdue Farms","4.6%"
68636,"barkevs.com","barkev's","6.5%"
68675,"sockittome.com","Sock It To Me","6.5%"
68679,"eat2explore.com","eat2explore","6.5%"
68693,"pacinosproducts.com","Pacinos Signature Line","9.8%"
68713,"locksmithkeyless.com","LOCKSMITH KEYLESS","6.5%"
68744,"bensnaturalhealth.com","Ben's Natural Health","6.5%"
68745,"lipogenbio.com","Lipogen Products","3.3%"
